number,value
-310809,1
-583743,1
-507969,1
-915997,1
-732529,1
-885056,0
-213211,1
-544701,1
-990992,0
-935215,1
-587316,0
-251286,0
-805167,1
-119820,0
-865881,1
-310660,0
-888698,0
-410096,0
-105001,1
-209306,0
-641080,0
-395644,0
-61509,1
-523363,1
-338556,0
-82473,1
-947118,0
-279054,0
-272855,1
-474716,0
-720037,1
-931835,1
-698349,1
-601460,0
-705868,0
-646618,0
-147582,0
-705559,1
-216954,0
-637838,0
-212873,1
-173206,0
-661565,1
-242802,0
-817735,1
-113395,1
-168078,0
-13898,0
-524655,1
-237059,1
-711953,1
-769932,0
-758543,1
-611441,1
-801968,0
-294249,1
-241919,1
-8267,1
-134178,0
-694746,0
-636910,0
-188967,1
-607833,1
-294260,0
-472795,1
-952391,1
-32242,0
-883404,0
-416704,0
-910275,1
-439494,0
-490625,1
-452321,1
-318882,0
-468501,1
-544084,0
-723802,0
-965946,0
-128108,0
-839817,1
-171705,1
-376851,1
-764445,1
-557115,1
-880529,1
-816580,0
-967153,1
-136499,1
-258879,1
-878841,1
-107604,0
-272017,1
-564702,0
-877407,1
-590941,1
-695762,0
-729279,1
-553943,1
-195604,0
-82975,1
-336609,1
-474558,0
-422142,0
-853937,1
-839014,0
-79294,0
-589728,0
-760551,1
-761706,0
-878906,0
-702557,1
-337131,1
-36805,1
-629435,1
-999485,1
-974199,1
-909019,1
-454230,0
-352804,0
-742659,1
-932977,1
-231557,1
-944684,0
-776227,1
-933853,1
-698930,0
-897420,0
-707135,1
-11433,1
-454365,1
-803984,0
-248277,1
-543746,0
-843667,1
-231124,0
-679161,1
-440738,0
-853908,0
-566990,0
-837569,1
-427178,0
-806955,1
-689067,1
-885558,0
-286218,0
-792747,1
-619677,1
-107575,1
-848517,1
-676529,1
-729811,1
-582840,0
-376123,1
-932829,1
-820379,1
-215591,1
-606693,1
-635477,1
-322663,1
-470019,1
-723669,1
-966469,1
-533410,0
-495264,0
-120737,1
-294857,1
-584810,0
-817907,1
-409610,0
-920696,0
-27407,1
-916621,1
-581903,1
-437432,0
-397567,1
-673184,0
-941601,1
-503694,0
-199644,0
-256041,1
-56340,0
-684912,0
-278990,0
-752293,1
-629293,1
-746463,1
-81507,1
-886078,0
-586086,0
-304089,1
-990601,1
-155242,0
-955996,0
-849888,0
-980074,0
-650144,0
-682974,0
-622646,0
-304744,0
-81617,1
-868,0
-795465,1
-900241,1
-996301,1
-49981,1
-325729,1
-319513,1
-237279,1
-145774,0
-862451,1
-843938,0
-194750,0
-987427,1
-259433,1
-935037,1
-318419,1
-206138,0
-188745,1
-536795,1
-899294,0
-667218,0
-476312,0
-347034,0
-171950,0
-243879,1
-270396,0
-314059,1
-447843,1
-182641,1
-823933,1
-721652,0
-395496,0
-589583,1
-929170,0
-898857,1
-641021,1
-722993,1
-441376,0
-447397,1
-547328,0
-451075,1
-933893,1
-766430,0
-457993,1
-71324,0
-353244,0
-994653,1
-914251,1
-751791,1
-598090,0
-413605,1
-547277,1
-84654,0
-244043,1
-299977,1
-724546,0
-136736,0
-523668,0
-292563,1
-919203,1
-919046,0
-94957,1
-490442,0
-522297,1
-58687,1
-442783,1
-808174,0
-923042,0
-679721,1
-88012,0
-439829,1
-350505,1
-556670,0
-265271,1
-952844,0
-883238,0
-227057,1
-645948,0
-922877,1
-704896,0
-664484,0
-510194,0
-299934,0
-849422,0
-189139,1
-77623,1
-770304,0
-957535,1
-98496,0
-805907,1
-419410,0
-284540,0
-838540,0
-645086,0
-957092,0
-900934,0
-413017,1
-866431,1
-10385,1
-863852,0
-634289,1
-349951,1
-926807,1
-69549,1
-837980,0
-556323,1
-442756,0
-962590,0
-427307,1
-359140,0
-294537,1
-29300,0
-714545,1
-377104,0
-854272,0
-499348,0
-466140,0
-106501,1
-397530,0
-855474,0
-187903,1
-176688,0
-129473,1
-114813,1
-769692,0
-619386,0
-581969,1
-439593,1
-189649,1
-725628,0
-497786,0
-55187,1
-588741,1
-34952,0
-368272,0
-798837,1
-195182,0
-303564,0
-872541,1
-117974,0
-124760,0
-997491,1
-537029,1
-120605,1
-786143,1
-971952,0
-344183,1
-214066,0
-769206,0
-393954,0
-492671,1
-421177,1
-796849,1
-490875,1
-526942,0
-259650,0
-765745,1
-973563,1
-254128,0
-418685,1
-59285,1
-573052,0
-71324,0
-876540,0
-641956,0
-581217,1
-481944,0
-469447,1
-476066,0
-338464,0
-485681,1
-870348,0
-922140,0
-357370,0
-208834,0
-638954,0
-716227,1
-459194,0
-655446,0
-809698,0
-32018,0
-13336,0
-843944,0
-37015,1
-970944,0
-570213,1
-392059,1
-47463,1
-403224,0
-965085,1
-706298,0
-624565,1
-225830,0
-800490,0
-122633,1
-221584,0
-670751,1
-784327,1
-623245,1
-659756,0
-623560,0
-78019,1
-227454,0
-392691,1
-847257,1
-109808,0
-621168,0
-934029,1
-956042,0
-276807,1
-292824,0
-151606,0
-506130,0
-355521,1
-302248,0
-172025,1
-227069,1
-106032,0
-190173,1
-916308,0
-917432,0
-699598,0
-483054,0
-718359,1
-301232,0
-654894,0
-13903,1
-585644,0
-801708,0
-73334,0
-741541,1
-32225,1
-923860,0
-745632,0
-478997,1
-77932,0
-27840,0
-698944,0
-13302,0
-44095,1
-224081,1
-784934,0
-386446,0
-301343,1
-990055,1
-880856,0
-924462,0
-14745,1
-197208,0
-972181,1
-238485,1
-65295,1
-156289,1
-550177,1
-329846,0
-413097,1
-118723,1
-550589,1
-466638,0
-523510,0
-938208,0
-716915,1
-571177,1
-101200,0
-247340,0
-358116,0
-43989,1
-526594,0
-589531,1
-886096,0
-408744,0
-417922,0
-617055,1
-817029,1
-591108,0
-422171,1
-175478,0
-557826,0
-547059,1
-284762,0
-572442,0
-487060,0
-649233,1
-935450,0
-348553,1
-672741,1
-726135,1
-867729,1
-198815,1
-105265,1
-980472,0
-126522,0
-102608,0
-461540,0
-683182,0
-172214,0
-376351,1
-224125,1
-932424,0
-71628,0
-272540,0
-80353,1
-271903,1
-747415,1
-89214,0
-185968,0
-289142,0
-911745,1
-456949,1
-838052,0
-882865,1
-382755,1
-833107,1
-384650,0
-333244,0
-724099,1
-644482,0
-924403,1
-883741,1
-79716,0
-537749,1
-715899,1
-458333,1
-434359,1
-474799,1
-257750,0
-461395,1
-858660,0
-559806,0
-689723,1
-383782,0
-858812,0
-696204,0
-474187,1
-750398,0
-359014,0
-434808,0
-838323,1
-988453,1
-180435,1
-749315,1
-838748,0
-359069,1
-235135,1
-377856,0
-779631,1
-494102,0
-541486,0
-60070,0
-20482,0
-329724,0
-471191,1
-536964,0
-784229,1
-105359,1
-154919,1
-346140,0
-279117,1
-594021,1
-635844,0
-593561,1
-271656,0
-586572,0
-989675,1
-656040,0
-176191,1
-874835,1
-212715,1
-493030,0
-658454,0
-862156,0
-858632,0
-762088,0
-109148,0
-537562,0
-348951,1
-226461,1
-303925,1
-29065,1
-929908,0
-471303,1
-711839,1
-125950,0
-417888,0
-526339,1
-894317,1
-543106,0
-278666,0
-664613,1
-636670,0
-806243,1
-592336,0
-937963,1
-528261,1
-65600,0
-800755,1
-570399,1
-415432,0
-752292,0
-866244,0
-938415,1
-629740,0
-739414,0
-128742,0
-50541,1
-554560,0
-788615,1
-336714,0
-861300,0
-335020,0
-680162,0
-458949,1
-402088,0
-92354,0
-873499,1
-725149,1
-369444,0
-110258,0
-918475,1
-894234,0
-193447,1
-345359,1
-477901,1
-93714,0
-736838,0
-550933,1
-70299,1
-416759,1
-930176,0
-386132,0
-369471,1
-230429,1
-539673,1
-381313,1
-458022,0
-21545,1
-258968,0
-238344,0
-835169,1
-558338,0
-152066,0
-387879,1
-346718,0
-543507,1
-179940,0
-933795,1
-476685,1
-266324,0
-300894,0
-653272,0
-575179,1
-740307,1
-857664,0
-199921,1
-934980,0
-773367,1
-894375,1
-874576,0
-61465,1
-918374,0
-500179,1
-961372,0
-356743,1
-910394,0
-321735,1
-732785,1
-983230,0
-422821,1
-867422,0
-2134,0
-443500,0
-358543,1
-894403,1
-416465,1
-620169,1
-738155,1
-614136,0
-264589,1
-542735,1
-647549,1
-405675,1
-584928,0
-242799,1
-15430,0
-631267,1
-968126,0
-175620,0
-511591,1
-760285,1
-918100,0
-802116,0
-987050,0
-650585,1
-270914,0
-965926,0
-364635,1
-427857,1
-755413,1
-789028,0
-825555,1
-981659,1
-981592,0
-588556,0
-145678,0
-557750,0
-376651,1
-887462,0
-513086,0
-989479,1
-220853,1
-396472,0
-927334,0
-490761,1
-322201,1
-156365,1
-599275,1
-359619,1
-967774,0
-994390,0
-596469,1
-46077,1
-463262,0
-451084,0
-219675,1
-730721,1
-444881,1
-887295,1
-732111,1
-437185,1
-181211,1
-700226,0
-907703,1
-998905,1
-706684,0
-986562,0
-353576,0
-960730,0
-807822,0
-206847,1
-176024,0
-875463,1
-932519,1
-591358,0
-707529,1
-341400,0
-339350,0
-100379,1
-546880,0
-115766,0
-370121,1
-554124,0
-835685,1
-699387,1
-94249,1
-25716,0
-703150,0
-161720,0
-161935,1
-867708,0
-663726,0
-462841,1
-660385,1
-790252,0
-888329,1
-741123,1
-273866,0
-824381,1
-62957,1
-839247,1
-644,0
-201878,0
-987592,0
-709608,0
-212037,1
-980092,0
-910096,0
-440378,0
-881947,1
-893774,0
-821639,1
-199631,1
-244809,1
-641152,0
-743515,1
-614831,1
-787212,0
-355184,0
-773308,0
-619338,0
-913000,0
-701387,1
-456615,1
-103881,1
-70429,1
-433236,0
-335642,0
-533531,1
-174818,0
-826065,1
-848738,0
-444765,1
-832383,1
-715185,1
-596402,0
-929022,0
-492728,0
-540936,0
-284003,1
-230000,0
-633369,1
-160297,1
-232989,1
-143132,0
-448073,1
-440900,0
-564557,1
-701270,0
-3655,1
-876977,1
-269769,1
-728677,1
-62508,0
-707829,1
-472427,1
-754383,1
-372518,0
-985036,0
-174231,1
-874084,0
-355127,1
-405703,1
-464453,1
-58615,1
-857434,0
-571966,0
-640028,0
-322031,1
-900083,1
-528526,0
-378440,0
-608358,0
-997395,1
-670299,1
-304678,0
-912200,0
-733084,0
-487621,1
-702445,1
-145976,0
-710769,1
-654118,0
-139427,1
-271530,0
-926389,1
-999848,0
-359564,0
-826886,0
-531617,1
-262726,0
-591830,0
-305868,0
-629553,1
-135311,1
-65376,0
-918018,0
-746245,1
-344164,0
-674712,0
-203754,0
-682886,0
-273330,0
-223811,1
-344538,0
-605490,0
-419404,0
-376801,1
-695954,0
-867026,0
-248475,1
-174984,0
-848810,0
-310113,1
-489404,0
-338956,0
-99481,1
-980238,0
-422272,0
-296477,1
-16391,1
-378237,1
-437033,1
-868844,0
-18980,0
-191941,1
-199879,1
-643834,0
-218180,0
-171604,0
-963268,0
-514182,0
-335587,1
-564771,1
-480380,0
-553849,1
-200051,1
-942620,0
-996882,0
-438386,0
-822970,0
-960273,1
-175593,1
-262990,0
-304235,1
-884018,0
-262423,1
-883891,1
-843063,1
-35821,1
-567020,0
-417090,0
-917555,1
-73506,0
-623008,0
-797807,1
-350131,1
-88210,0
-436298,0
-865597,1
-401329,1
-383464,0
-499353,1
-334619,1
-540463,1
-772263,1
-558344,0
-727811,1
-996935,1
-1535,1
-229680,0
-358712,0
-821912,0
-200743,1
-453378,0
-264899,1
-105551,1
-284276,0
-954631,1
-214533,1
-681124,0
-964419,1
-721449,1
-964647,1
-825731,1
-154570,0
-952382,0
-816899,1
-793975,1
-511931,1
-841967,1
-603264,0
-123460,0
-255992,0
-309909,1
-62223,1
-885367,1
-859578,0
-401756,0
-175294,0
-818307,1
-182874,0
-631416,0
-801345,1
-693611,1
-547256,0
-370171,1
-334589,1
-717968,0
-906788,0
-982660,0
-187587,1
-973454,0
-493281,1
-753900,0
-226642,0
-468926,0
-67893,1
-623223,1
-140597,1
-327245,1
-841499,1
-815147,1
-551582,0
-840952,0
-62937,1
-581843,1
-967995,1
-805200,0
-561531,1
-849377,1
-211179,1
-831525,1
-561569,1
-618867,1
-893320,0
-417101,1
-502024,0
-924018,0
-189007,1
-323364,0
-239911,1
-437758,0
-345286,0
-409232,0
-227089,1
-642395,1
-453151,1
-409530,0
-593363,1
-595596,0
-60600,0
-36240,0
-828904,0
-689316,0
-445069,1
-509829,1
-529486,0
-4843,1
-321167,1
-716648,0
-126282,0
-967146,0
-561851,1
-417649,1
-21801,1
-838041,1
-85495,1
-529259,1
-178693,1
-353282,0
-40124,0
-68736,0
-531500,0
-783972,0
-707224,0
-438534,0
-754820,0
-735081,1
-860398,0
-100472,0
-399851,1
-368966,0
-849048,0
-397482,0
-49415,1
-769269,1
-184974,0
-782353,1
-769477,1
-41189,1
-792992,0
-495272,0
-519589,1
-541136,0
-845626,0
-913917,1
-847386,0
-35614,0
-822628,0
-403758,0
-371051,1
-121678,0
-136538,0
-667360,0
-155397,1
-11637,1
-862788,0
-153981,1
-348121,1
-14326,0
-991514,0
-581163,1
-48145,1
-845393,1
-530696,0
-944469,1
-244976,0
-595879,1
-839257,1
-17415,1
-160648,0
-493105,1
-596499,1
-325571,1
-326871,1
-751532,0
-358444,0
-629155,1
-993321,1
-352628,0
-563929,1
-418583,1
-212523,1
-569038,0
-311070,0
-663400,0
-346242,0
-673522,0
-980655,1
-720034,0
-725743,1
-308604,0
-595154,0
-448317,1
-475834,0
-734479,1
-951967,1
-934616,0
-482221,1
-248097,1
-671409,1
-507914,0
-388726,0
-482859,1
-767669,1
-831133,1
-228107,1
-725450,0
-782444,0
-875776,0
-412007,1
-430437,1
-810503,1
-217397,1
-269176,0
-455926,0
-121195,1
-348180,0
-66594,0
-87616,0
-665518,0
-476455,1
-970456,0
-446279,1
-101181,1
-935450,0
-98043,1
-39413,1
-65247,1
-813995,1
-440605,1
-838151,1
-471624,0
-313875,1
-403925,1
-570469,1
-790791,1
-376613,1
-850828,0
-540552,0
-813158,0
-408277,1
-766975,1
-120629,1
-121236,0
-346308,0
-278662,0
-692401,1
-741379,1
-669757,1
-367912,0
-105928,0
-691808,0
-643827,1
-710630,0
-748203,1
-842217,1
-884197,1
-92659,1
-241754,0
