number,value
-815019,1
-906625,1
-886278,0
-454679,1
-262077,1
-837687,1
-555884,0
-914454,0
-655742,0
-524369,1
-200399,1
-657884,0
-732399,1
-927433,1
-138197,1
-247398,0
-685568,0
-361966,0
-150084,0
-520372,0
-166406,0
-234127,1
-887133,1
-895957,1
-650534,0
-472111,1
-289147,1
-14454,0
-23571,1
-178179,1
-150831,1
-42734,0
-234533,1
-995823,1
-779934,0
-139138,0
-387659,1
-956148,0
-288561,1
-82351,1
-702707,1
-467603,1
-63121,1
-699001,1
-392992,0
-898451,1
-735625,1
-261806,0
-861299,1
-540358,0
-638102,0
-633464,0
-874254,0
-996938,0
-951891,1
-20714,0
-114581,1
-15678,0
-361609,1
-554542,0
-410101,1
-574242,0
-725951,1
-998510,0
-381062,0
-903276,0
-392376,0
-338350,0
-121428,0
-707324,0
-993729,1
-856291,1
-442195,1
-17156,0
-446099,1
-467446,0
-353576,0
-634732,0
-670624,0
-766006,0
-803980,0
-45083,1
-549668,0
-279205,1
-701217,1
-653137,1
-230069,1
-808385,1
-332999,1
-649312,0
-187715,1
-69237,1
-713382,0
-29162,0
-87855,1
-551567,1
-26995,1
-372878,0
-959568,0
-873531,1
-143287,1
-50410,0
-585449,1
-110542,0
-754889,1
-438035,1
-577510,0
-748814,0
-692174,0
-961321,1
-325064,0
-83827,1
-607156,0
-896216,0
-902889,1
-388317,1
-918691,1
-480671,1
-551610,0
-520431,1
-489836,0
-85444,0
-192504,0
-612703,1
-425703,1
-837736,0
-928694,0
-457506,0
-239731,1
-430402,0
-167422,0
-619934,0
-387971,1
-566287,1
-350370,0
-373674,0
-756883,1
-177033,1
-71474,0
-59777,1
-179232,0
-526122,0
-909208,0
-542680,0
-725288,0
-582683,1
-354289,1
-205946,0
-99391,1
-732004,0
-381560,0
-640017,1
-398032,0
-290517,1
-487529,1
-382988,0
-40775,1
-665337,1
-600520,0
-446271,1
-938183,1
-80591,1
-587683,1
-896482,0
-694230,0
-109208,0
-183999,1
-518639,1
-754827,1
-849305,1
